sku,name,brand,category,base_price,coverage_m2,desc
BM-019,Semen Portland Composite PCC 40kg,Tiga Roda,building material,149817.2,1.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 40kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-020,MU-219 Perekat Bata Ringan 5kg,Semen Gresik,building material,194537.77,0.5,"Semen instan Mortar Utama tipe MU-219 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-021,MU-220 Acian Plesteran 40kg,Dynamix,building material,355382.85,0.25,"Semen instan Mortar Utama tipe MU-220 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-022,MU-221 Perekat Keramik 50kg,MU-Mortar Utama,building material,322964.47,4.0,Semen instan Mortar Utama tipe MU-221 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-023,SikaGrout 222 Semen Grouting 40kg,Sika,building material,94250.21,2.0,"Semen instan SikaGrout tipe 222 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-024,Sika Top 223 Waterproofing 5kg,Lemkra,building material,494918.83,4.0,"Bahan pelapis kedap air 2 komponen Sika Top 223 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-025,Lemkra FK 224 Perekat Granit 40kg,AM,building material,347037.91,0.25,Perekat keramik dan granit instan Lemkra tipe FK 224 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-026,AM 225 Pengisi Nat Keramik 25kg,Drymix,building material,413574.26,1.0,"Pengisi nat keramik premium AM 225 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-027,Drymix Plester 226 Instan 40kg,Semen Padang,building material,144854.32,0.5,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-028,Semen Portland Composite PCC 50kg,Tiga Roda,building material,440038.3,1.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 50kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-029,MU-228 Perekat Bata Ringan 40kg,Semen Gresik,building material,332887.75,2.0,"Semen instan Mortar Utama tipe MU-228 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-030,MU-229 Acian Plesteran 5kg,Dynamix,building material,84292.72,0.5,"Semen instan Mortar Utama tipe MU-229 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-031,MU-230 Perekat Keramik 40kg,MU-Mortar Utama,building material,376319.66,4.0,Semen instan Mortar Utama tipe MU-230 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-032,SikaGrout 231 Semen Grouting 5kg,Sika,building material,377301.7,2.0,"Semen instan SikaGrout tipe 231 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-033,Sika Top 232 Waterproofing 40kg,Lemkra,building material,208709.24,0.5,"Bahan pelapis kedap air 2 komponen Sika Top 232 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-034,Lemkra FK 233 Perekat Granit 50kg,AM,building material,262120.25,0.25,Perekat keramik dan granit instan Lemkra tipe FK 233 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-035,AM 234 Pengisi Nat Keramik 40kg,Drymix,building material,432634.91,0.5,"Pengisi nat keramik premium AM 234 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-036,Drymix Plester 235 Instan 25kg,Semen Padang,building material,399158.49,2.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-037,Semen Portland Composite PCC 40kg,Tiga Roda,building material,45810.94,2.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 40kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-038,MU-237 Perekat Bata Ringan 5kg,Semen Gresik,building material,498118.87,4.0,"Semen instan Mortar Utama tipe MU-237 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-039,MU-238 Acian Plesteran 40kg,Dynamix,building material,485973.01,0.25,"Semen instan Mortar Utama tipe MU-238 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-040,MU-239 Perekat Keramik 50kg,MU-Mortar Utama,building material,345629.53,4.0,Semen instan Mortar Utama tipe MU-239 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-041,SikaGrout 240 Semen Grouting 40kg,Sika,building material,387770.39,1.0,"Semen instan SikaGrout tipe 240 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-042,Sika Top 241 Waterproofing 5kg,Lemkra,building material,157347.56,0.5,"Bahan pelapis kedap air 2 komponen Sika Top 241 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-043,Lemkra FK 242 Perekat Granit 40kg,AM,building material,16573.98,1.0,Perekat keramik dan granit instan Lemkra tipe FK 242 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-044,AM 243 Pengisi Nat Keramik 5kg,Drymix,building material,384551.67,4.0,"Pengisi nat keramik premium AM 243 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-045,Drymix Plester 244 Instan 40kg,Semen Padang,building material,437201.51,1.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-046,Semen Portland Composite PCC 50kg,Tiga Roda,building material,310350.55,0.5,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 50kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-047,MU-246 Perekat Bata Ringan 40kg,Semen Gresik,building material,384817.74,4.0,"Semen instan Mortar Utama tipe MU-246 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-048,MU-247 Acian Plesteran 5kg,Dynamix,building material,460469.34,4.0,"Semen instan Mortar Utama tipe MU-247 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-049,MU-248 Perekat Keramik 40kg,MU-Mortar Utama,building material,251973.77,0.25,Semen instan Mortar Utama tipe MU-248 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-050,SikaGrout 249 Semen Grouting 5kg,Sika,building material,441180.11,1.0,"Semen instan SikaGrout tipe 249 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-051,Sika Top 250 Waterproofing 40kg,Lemkra,building material,43093.71,4.0,"Bahan pelapis kedap air 2 komponen Sika Top 250 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-052,Lemkra FK 251 Perekat Granit 50kg,AM,building material,56541.92,2.0,Perekat keramik dan granit instan Lemkra tipe FK 251 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-053,AM 252 Pengisi Nat Keramik 40kg,Drymix,building material,489322.48,4.0,"Pengisi nat keramik premium AM 252 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-054,Drymix Plester 253 Instan 5kg,Semen Padang,building material,77269.86,2.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-055,Semen Portland Composite PCC 40kg,Tiga Roda,building material,95086.58,4.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 40kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-056,MU-255 Perekat Bata Ringan 25kg,Semen Gresik,building material,220221.9,0.5,"Semen instan Mortar Utama tipe MU-255 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-057,MU-256 Acian Plesteran 40kg,Dynamix,building material,381303.62,0.5,"Semen instan Mortar Utama tipe MU-256 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-058,MU-257 Perekat Keramik 50kg,MU-Mortar Utama,building material,208511.27,1.0,Semen instan Mortar Utama tipe MU-257 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-059,SikaGrout 258 Semen Grouting 40kg,Sika,building material,451312.83,2.0,"Semen instan SikaGrout tipe 258 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-060,Sika Top 259 Waterproofing 5kg,Lemkra,building material,135234.22,0.25,"Bahan pelapis kedap air 2 komponen Sika Top 259 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-061,Lemkra FK 260 Perekat Granit 40kg,AM,building material,25201.62,4.0,Perekat keramik dan granit instan Lemkra tipe FK 260 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-062,AM 261 Pengisi Nat Keramik 5kg,Drymix,building material,300393.46,0.25,"Pengisi nat keramik premium AM 261 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-063,Drymix Plester 262 Instan 40kg,Semen Padang,building material,358302.86,0.25,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-064,Semen Portland Composite PCC 50kg,Tiga Roda,building material,47689.16,0.25,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 50kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-065,MU-264 Perekat Bata Ringan 40kg,Semen Gresik,building material,49365.81,0.5,"Semen instan Mortar Utama tipe MU-264 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-066,MU-265 Acian Plesteran 25kg,Dynamix,building material,339454.22,0.5,"Semen instan Mortar Utama tipe MU-265 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-067,MU-266 Perekat Keramik 40kg,MU-Mortar Utama,building material,79171.25,4.0,Semen instan Mortar Utama tipe MU-266 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-068,SikaGrout 267 Semen Grouting 5kg,Sika,building material,244245.45,2.0,"Semen instan SikaGrout tipe 267 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-069,Sika Top 268 Waterproofing 40kg,Lemkra,building material,107348.81,0.25,"Bahan pelapis kedap air 2 komponen Sika Top 268 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-070,Lemkra FK 269 Perekat Granit 50kg,AM,building material,186834.32,2.0,Perekat keramik dan granit instan Lemkra tipe FK 269 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-071,AM 270 Pengisi Nat Keramik 40kg,Drymix,building material,433960.82,0.25,"Pengisi nat keramik premium AM 270 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-072,Drymix Plester 271 Instan 5kg,Semen Padang,building material,44397.15,1.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-073,Semen Portland Composite PCC 40kg,Tiga Roda,building material,135598.32,0.5,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 40kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-074,MU-273 Perekat Bata Ringan 5kg,Semen Gresik,building material,232577.57,2.0,"Semen instan Mortar Utama tipe MU-273 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-075,MU-274 Acian Plesteran 40kg,Dynamix,building material,150094.4,0.5,"Semen instan Mortar Utama tipe MU-274 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-076,MU-275 Perekat Keramik 50kg,MU-Mortar Utama,building material,229918.41,4.0,Semen instan Mortar Utama tipe MU-275 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-077,SikaGrout 276 Semen Grouting 40kg,Sika,building material,39535.34,4.0,"Semen instan SikaGrout tipe 276 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-078,Sika Top 277 Waterproofing 5kg,Lemkra,building material,484963.18,0.5,"Bahan pelapis kedap air 2 komponen Sika Top 277 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-079,Lemkra FK 278 Perekat Granit 40kg,AM,building material,212110.82,2.0,Perekat keramik dan granit instan Lemkra tipe FK 278 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-080,AM 279 Pengisi Nat Keramik 5kg,Drymix,building material,434355.44,0.25,"Pengisi nat keramik premium AM 279 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-081,Drymix Plester 280 Instan 40kg,Semen Padang,building material,198801.96,2.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-082,Semen Portland Composite PCC 50kg,Tiga Roda,building material,464361.27,2.0,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 50kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-083,MU-282 Perekat Bata Ringan 40kg,Semen Gresik,building material,220158.63,4.0,"Semen instan Mortar Utama tipe MU-282 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-084,MU-283 Acian Plesteran 5kg,Dynamix,building material,90076.46,1.0,"Semen instan Mortar Utama tipe MU-283 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-085,MU-284 Perekat Keramik 40kg,MU-Mortar Utama,building material,484824.04,4.0,Semen instan Mortar Utama tipe MU-284 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-086,SikaGrout 285 Semen Grouting 25kg,Sika,building material,44564.42,1.0,"Semen instan SikaGrout tipe 285 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-087,Sika Top 286 Waterproofing 40kg,Lemkra,building material,39319.03,2.0,"Bahan pelapis kedap air 2 komponen Sika Top 286 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-088,Lemkra FK 287 Perekat Granit 50kg,AM,building material,460902.76,4.0,Perekat keramik dan granit instan Lemkra tipe FK 287 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-089,AM 288 Pengisi Nat Keramik 40kg,Drymix,building material,42586.6,4.0,"Pengisi nat keramik premium AM 288 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-090,Drymix Plester 289 Instan 5kg,Semen Padang,building material,427901.13,0.25,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-091,Semen Portland Composite PCC 40kg,Tiga Roda,building material,47961.02,0.5,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 40kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
BM-092,MU-291 Perekat Bata Ringan 5kg,Semen Gresik,building material,73145.01,4.0,"Semen instan Mortar Utama tipe MU-291 untuk perekat bata ringan yang tipis, kuat, dan hemat bahan."
BM-093,MU-292 Acian Plesteran 40kg,Dynamix,building material,295775.74,0.25,"Semen instan Mortar Utama tipe MU-292 untuk pekerjaan acian pada dinding plesteran, menghasilkan permukaan halus siap cat."
BM-094,MU-293 Perekat Keramik 50kg,MU-Mortar Utama,building material,54761.95,4.0,Semen instan Mortar Utama tipe MU-293 untuk pemasangan keramik dinding dan lantai agar anti-kopong dan tahan lama.
BM-095,SikaGrout 294 Semen Grouting 40kg,Sika,building material,268549.62,1.0,"Semen instan SikaGrout tipe 294 untuk pengisi celah beton, pilar, dan grouting struktur berkekuatan tinggi."
BM-096,Sika Top 295 Waterproofing 25kg,Lemkra,building material,339817.1,1.0,"Bahan pelapis kedap air 2 komponen Sika Top 295 untuk dak beton, kamar mandi, bak air, dan area basah lainnya."
BM-097,Lemkra FK 296 Perekat Granit 40kg,AM,building material,143823.04,0.5,Perekat keramik dan granit instan Lemkra tipe FK 296 berkekuatan rekat tinggi untuk pemasangan di area kering maupun basah.
BM-098,AM 297 Pengisi Nat Keramik 5kg,Drymix,building material,236753.92,0.25,"Pengisi nat keramik premium AM 297 yang tahan air, anti-jamur, warna tidak mudah pudar, cocok untuk interior dan eksterior."
BM-099,Drymix Plester 298 Instan 40kg,Semen Padang,building material,237268.48,4.0,Semen instan Drymix untuk pekerjaan plesteran dinding bata merah atau bata ringan dengan hasil presisi dan minimal retak rambut.
BM-100,Semen Portland Composite PCC 50kg,Tiga Roda,building material,50531.45,0.5,"Tiga Roda Semen PCC berkualitas tinggi dalam kemasan 50kg. Cocok untuk pasangan bata, plesteran, acian, dan beton."
FL-001,Granit Carrara White Polished 60x60,Roman,floor,470634.13,0.36,Granit mewah Roman dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-002,Granit Calacatta Gold Matte 40x40,Milan,floor,129408.61,2.88,"Granit berkualitas tinggi Milan permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-003,Keramik Dinding Travertine Beige Glossy 60x60,Sandimas,floor,492895.46,2.88,Keramik dinding dekoratif Sandimas tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-004,Keramik Lantai Statario Lux Rustic 30x60,Arna,floor,191726.65,1.92,"Keramik lantai luar ruangan Arna bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-005,SPC Flooring Wood Motif 60x60,Niro Granite,floor,110788.61,0.36,"Lantai SPC (Stone Plastic Composite) premium Niro Granite motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-006,Vinyl Flooring Plank 80x80,Indogress,floor,183972.76,0.72,Lantai vinyl berkualitas Indogress motif kayu tipe plank tebal 3mm ukuran 80x80. Praktis dipasang dan mudah dibersihkan.
FL-007,Granit Oak Wood Polished 60x60,Granito,floor,282379.99,0.96,Granit mewah Granito dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-008,Granit Teak Natural Matte 40x40,Decogress,floor,424913.16,0.36,"Granit berkualitas tinggi Decogress permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-009,Keramik Dinding Sandalwood Glossy 60x60,Habitat,floor,340329.89,0.96,Keramik dinding dekoratif Habitat tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-010,Keramik Lantai Genoa Grey Rustic 30x60,Valentino Gress,floor,370493.68,1.44,"Keramik lantai luar ruangan Valentino Gress bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-011,SPC Flooring Wood Motif 60x60,Roman,floor,475822.41,1.92,"Lantai SPC (Stone Plastic Composite) premium Roman motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-012,Vinyl Flooring Plank 40x40,Milan,floor,427221.81,1.44,Lantai vinyl berkualitas Milan motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-013,Granit Carrara White Polished 60x60,Sandimas,floor,116076.03,0.96,Granit mewah Sandimas dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-014,Granit Calacatta Gold Matte 40x40,Arna,floor,152433.68,0.72,"Granit berkualitas tinggi Arna permukaan matte (doff) tipe Calacatta Gold ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-015,Keramik Dinding Travertine Beige Glossy 60x60,Niro Granite,floor,449019.27,1.2,Keramik dinding dekoratif Niro Granite tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-016,Keramik Lantai Statario Lux Rustic 30x60,Indogress,floor,440426.51,2.88,"Keramik lantai luar ruangan Indogress bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-017,SPC Flooring Wood Motif 60x60,Granito,floor,138918.69,0.96,"Lantai SPC (Stone Plastic Composite) premium Granito motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-018,Vinyl Flooring Plank 40x40,Decogress,floor,130047.05,1.92,Lantai vinyl berkualitas Decogress motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-019,Granit Oak Wood Polished 60x60,Habitat,floor,437781.03,0.72,Granit mewah Habitat dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-020,Granit Teak Natural Matte 40x40,Valentino Gress,floor,194283.98,2.88,"Granit berkualitas tinggi Valentino Gress permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-021,Keramik Dinding Sandalwood Glossy 60x60,Roman,floor,350414.6,1.2,Keramik dinding dekoratif Roman tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-022,Keramik Lantai Genoa Grey Rustic 30x60,Milan,floor,485431.21,0.96,"Keramik lantai luar ruangan Milan bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-023,SPC Flooring Wood Motif 60x60,Sandimas,floor,358987.97,2.88,"Lantai SPC (Stone Plastic Composite) premium Sandimas motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-024,Vinyl Flooring Plank 40x40,Arna,floor,110750.37,0.96,Lantai vinyl berkualitas Arna motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-025,Granit Carrara White Polished 60x60,Niro Granite,floor,76833.17,1.44,Granit mewah Niro Granite dengan permukaan polished (mengkilap) tipe Carrara White ukuran 60x60. Cocok untuk ruang tamu premium.
FL-026,Granit Calacatta Gold Matte 80x80,Indogress,floor,252013.31,1.44,"Granit berkualitas tinggi Indogress permukaan matte (doff) tipe Calacatta Gold ukuran 80x80. Cocok untuk area selasar, teras, dan dapur."
FL-027,Keramik Dinding Travertine Beige Glossy 60x60,Granito,floor,143634.66,0.36,Keramik dinding dekoratif Granito tipe Travertine Beige ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-028,Keramik Lantai Statario Lux Rustic 30x60,Decogress,floor,467253.07,1.44,"Keramik lantai luar ruangan Decogress bertekstur rustic tipe Statario Lux ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-029,SPC Flooring Wood Motif 60x60,Habitat,floor,90788.48,1.92,"Lantai SPC (Stone Plastic Composite) premium Habitat motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-030,Vinyl Flooring Plank 40x40,Valentino Gress,floor,351890.49,0.36,Lantai vinyl berkualitas Valentino Gress motif kayu tipe plank tebal 3mm ukuran 40x40. Praktis dipasang dan mudah dibersihkan.
FL-031,Granit Oak Wood Polished 60x60,Roman,floor,353432.88,0.96,Granit mewah Roman dengan permukaan polished (mengkilap) tipe Oak Wood ukuran 60x60. Cocok untuk ruang tamu premium.
FL-032,Granit Teak Natural Matte 40x40,Milan,floor,116006.63,1.2,"Granit berkualitas tinggi Milan permukaan matte (doff) tipe Teak Natural ukuran 40x40. Cocok untuk area selasar, teras, dan dapur."
FL-033,Keramik Dinding Sandalwood Glossy 60x60,Sandimas,floor,310406.31,1.2,Keramik dinding dekoratif Sandimas tipe Sandalwood ukuran 60x60 dengan finishing glossy. Sangat estetik untuk dinding dapur/kamar mandi.
FL-034,Keramik Lantai Genoa Grey Rustic 30x60,Arna,floor,186242.04,1.2,"Keramik lantai luar ruangan Arna bertekstur rustic tipe Genoa Grey ukuran 30x60. Anti-selip untuk area garasi, teras, dan taman."
FL-035,SPC Flooring Wood Motif 60x60,Niro Granite,floor,264594.8,1.2,"Lantai SPC (Stone Plastic Composite) premium Niro Granite motif kayu alami tebal 4mm ukuran 60x60. Hangat, tahan rayap, dan tahan air."
FL-036,Vinyl Flooring Plank 80x80,Indogress,floor,409243.58,2.88,Lantai vinyl berkualitas Indogress motif kayu tipe plank tebal 3mm ukuran 80x80. Praktis dipasang dan mudah dibersihkan.
